time,value
2020-01-29,6.30475471496582
2020-01-30,6.250355939865112
2020-01-31,6.208275296688079
2020-02-03,6.181658437252044
2020-02-04,6.166568052768707
2020-02-05,6.161611762046814
2020-02-06,6.162128834724426
2020-02-07,6.172699003219604
2020-02-10,6.190008301734924
2020-02-11,6.2125568151473995
2020-02-12,6.228133692741394
2020-02-13,6.235525102615356
2020-02-14,6.234018111228942
2020-02-17,6.226595110893249
2020-02-18,6.220959877967834
2020-02-19,6.217903816699981
2020-02-20,6.214567863941192
2020-02-21,6.206679978370666
2020-02-24,6.1935440325736995
2020-02-25,6.174920318126678
2020-02-26,6.156207518577575
2020-02-27,6.168390064239501
2020-02-28,6.197194752693176
2020-03-02,6.213218824863433
